Item_set,Sentence,Condition,Correct,Group
1,Du und dein Bruder haben den Film schon gesehen.,23_3,gram,A
1,Du und dein Bruder habt den Film schon gesehen.,23_2,gram,B
1,Du und dein Bruder habe den Film schon gesehen.,23_1,ungram,C
1,Dein Bruder und du haben den Film schon gesehen.,32_3,gram,D
1,Dein Bruder und du habt den Film schon gesehen.,32_2,gram,E
1,Dein Bruder und du habe den Film schon gesehen.,32_1,ungram,F
2,Du und Leona werden das Spiel bestimmt gewinnen.,23_3,gram,F
2,Du und Leona werdet das Spiel bestimmt gewinnen.,23_2,gram,A
2,Du und Leona werde das Spiel bestimmt gewinnen.,23_1,ungram,B
2,Leona und du werden das Spiel bestimmt gewinnen.,32_3,gram,C
2,Leona und du werdet das Spiel bestimmt gewinnen.,32_2,gram,D
2,Leona und du werde das Spiel bestimmt gewinnen.,32_1,ungram,E
3,Du und der Hund sind zu schnell für mich.,23_3,gram,E
3,Du und der Hund seid zu schnell für mich.,23_2,gram,F
3,Du und der Hund bin zu schnell für mich.,23_1,ungram,A
3,Der Hund und du sind zu schnell für mich.,32_3,gram,B
3,Der Hund und du seid zu schnell für mich.,32_2,gram,C
3,Der Hund und du bin zu schnell für mich.,32_1,ungram,D
4,Du und meine Freundin haben viel gemeinsam.,23_3,gram,D
4,Du und meine Freundin habt viel gemeinsam.,23_2,gram,E
4,Du und meine Freundin habe viel gemeinsam.,23_1,ungram,F
4,Meine Freundin und du haben viel gemeinsam.,32_3,gram,A
4,Meine Freundin und du habt viel gemeinsam.,32_2,gram,B
4,Meine Freundin und du habe viel gemeinsam.,32_1,ungram,C
5,Du und Erik haben die Schlüssel vielleicht zuhause vergessen.,23_3,gram,C
5,Du und Erik habt die Schlüssel vielleicht zuhause vergessen.,23_2,gram,D
5,Du und Erik habe die Schlüssel vielleicht zuhause vergessen.,23_1,ungram,E
5,Erik und du haben die Schlüssel vielleicht zuhause vergessen.,32_3,gram,F
5,Erik und du habt die Schlüssel vielleicht zuhause vergessen.,32_2,gram,A
5,Erik und du habe die Schlüssel vielleicht zuhause vergessen.,32_1,ungram,B
6,Du und der Junge machen viel zu viel Lärm.,23_3,gram,B
6,Du und der Junge macht viel zu viel Lärm.,23_2,gram,C
6,Du und der Junge mache viel zu viel Lärm.,23_1,ungram,D
